symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
MSFT260417P00480000,MSFT.US,微软,P,2026-04-17,30,480.0,399.41,20.18,80.96,11381,0,11381.0,92140576.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
QQQ260417P00590000,QQQ.US,QQQ,P,2026-04-17,30,590.0,603.31,-2.21,10.13,10687,0,10687.0,10825931.0,1.56,True,True,100.0,100.0,0.0,100.0,yfinance
NVDA260410C00190000,NVDA.US,英伟达,C,2026-04-10,23,190.0,181.93,4.44,3.29,59699,0,59699.0,19640971.0,3.13,True,True,100.0,100.0,0.0,100.0,yfinance
QCOM260417P00195000,QCOM.US,高通,P,2026-04-17,30,195.0,131.59,48.19,57.45,6438,0,6438.0,36986310.0,0.0,True,True,100.0,100.0,0.0,100.0,yfinance
SPY260417P00640000,SPY.US,SPY,P,2026-04-17,30,640.0,670.79,-4.59,6.35,26452,0,26452.0,16797020.0,3.13,True,True,99.61,100.0,0.0,99.79,yfinance
SPY260515P00640000,SPY.US,SPY,P,2026-05-15,58,640.0,670.79,-4.59,10.75,11897,0,11897.0,12789275.0,3.13,True,True,98.82,99.21,0.0,99.0,yfinance
AMD260417C00200000,AMD.US,AMD,C,2026-04-17,30,200.0,196.31,1.88,9.65,6289,0,6289.0,6068885.0,1.56,True,True,100.0,97.73,0.0,98.98,yfinance
MSFT260417P00475000,MSFT.US,微软,P,2026-04-17,30,475.0,399.41,18.93,76.03,10201,0,10201.0,77558203.0,0.0,True,True,98.57,99.05,0.0,98.79,yfinance
QQQ260515P00605000,QQQ.US,QQQ,P,2026-05-15,58,605.0,603.31,0.28,20.49,4720,0,4720.0,9671280.0,0.0,True,True,99.5,97.67,0.0,98.68,yfinance
QQQ260417P00580000,QQQ.US,QQQ,P,2026-04-17,30,580.0,603.31,-3.86,7.76,7113,0,7113.0,5519688.0,3.13,True,True,98.01,99.34,0.0,98.61,yfinance
