代码,名称,方向,综合分,置信度,期权异动数,Call事件数,Put事件数,Call成交额M,Put成交额M,C/P成交额比,C/P成交量比,期权方向分,个股额比20日,个股当日涨跌%,相对SPY20日%,变盘压缩分,行业,子行业,生物医药,财报日,财报剩余天,催化剂分,催化贡献分,催化标签,催化新闻数,催化摘要,理由,行业共振分,行业共振,机会评分,筛选模式
DOCU,DOCU,偏多,22.49,98.3,8,5,3,0.51,0.12,4.24,5.63,40.0,2.52,2.86,12.73,0.91,Technology,Software - Application,否,2026-06-04,78,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Technology多头共振8,23.42,二级放宽(允许无催化)
DOCN,DOCN,偏多,22.2,97.9,8,6,2,8.04,0.97,8.28,1.0,40.0,2.38,6.3,23.4,0.71,Technology,Software - Infrastructure,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Technology多头共振8,23.08,二级放宽(允许无催化)
CVI,CVI,偏多,21.75,89.2,3,3,0,1.02,0.0,1021100.0,3506.0,40.0,2.19,10.36,50.8,0.0,Energy,Oil & Gas Refining & Marketing,否,2026-04-27,40,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,6.0,Energy多头共振5,21.66,二级放宽(允许无催化)
PTGX,PTGX,偏多,20.49,98.3,4,3,1,0.05,0.0,54.3,13.64,40.0,3.0,-0.14,20.61,0.0,Healthcare,Biotechnology,是,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走强,4.0,Healthcare多头共振3,21.34,二级放宽(允许无催化)
DVN,DVN,偏多,20.03,80.7,8,7,1,0.65,0.03,21.35,27.94,40.0,1.52,1.56,11.99,11.69,Energy,Oil & Gas E&P,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Energy多头共振5,19.1,二级放宽(允许无催化)
MUR,MUR,偏多,19.42,74.0,7,5,2,0.18,0.0,105.01,4.69,40.0,1.22,3.75,18.59,9.89,Energy,Oil & Gas E&P,否,2026-05-06,49,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,6.0,Energy多头共振5,17.87,二级放宽(允许无催化)
PR,PR,偏多,18.89,69.0,4,4,0,0.1,0.0,104012.0,336.0,40.0,0.79,0.56,14.66,8.09,Energy,Oil & Gas E&P,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Energy多头共振5,16.91,二级放宽(允许无催化)
EOG,EOG,偏多,18.89,69.0,8,6,2,1.84,0.05,37.87,1.36,40.0,0.84,1.33,16.09,7.74,Energy,Oil & Gas E&P,否,2026-04-16,29,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Energy多头共振5,16.91,二级放宽(允许无催化)
PLTR,PLTR,偏多,18.11,68.0,8,5,3,30.47,5.17,5.9,2.56,40.0,0.66,-1.49,16.47,9.24,Technology,Software - Infrastructure,否,2026-05-04,47,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振8,16.12,二级放宽(允许无催化)
BTSG,BTSG,偏多,17.49,72.6,3,2,1,0.15,0.0,305.34,1.3,40.0,1.68,2.3,8.29,0.0,Healthcare,Health Information Services,是,2026-05-01,44,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,4.0,Healthcare多头共振3,15.97,二级放宽(允许无催化)
NVT,NVT,偏多,15.68,84.1,8,4,4,5.26,0.26,20.55,13.13,40.0,1.93,4.85,7.62,0.0,Industrials,Electrical Equipment & Parts,否,2026-04-24,37,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额温和放大；近20日相对SPY明显走强,2.0,Industrials多头共振2,15.22,二级放宽(允许无催化)
ACLS,ACLS,偏多,17.51,63.5,4,4,0,0.01,0.0,12745.0,30.0,40.0,0.67,0.69,8.17,20.0,Technology,Semiconductor Equipment & Materials,否,2026-05-05,48,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振8,15.19,二级放宽(允许无催化)
SLAB,SLAB,偏多,16.44,57.8,5,4,1,0.21,0.0,2095.5,4.73,40.0,0.6,-0.31,3.76,20.0,Technology,Semiconductors,否,2026-05-12,55,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振8,13.79,二级放宽(允许无催化)
AMKR,AMKR,偏多,16.05,57.5,8,8,0,0.12,0.0,120301.0,424.0,40.0,0.89,1.14,3.9,20.0,Technology,Semiconductor Equipment & Materials,否,2026-03-31,13,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,6.0,Technology多头共振8,13.44,二级放宽(允许无催化)
CIEN,CIEN,偏多,16.42,52.6,8,4,4,1.58,1.37,1.16,0.19,-12.73,1.58,4.11,27.52,0.0,Technology,Communication Equipment,否,2026-06-04,78,0.0,0.0,无,0,近期未检测到明确公开催化,Call/Put成交额相对均衡；个股成交额温和放大；近20日相对SPY明显走强,6.0,Technology多头共振8,13.35,二级放宽(允许无催化)
PSTG,PSTG,偏多,17.21,35.7,6,3,3,0.14,0.13,1.08,1.33,5.77,0.54,1.5,-7.69,20.0,Technology,Computer Hardware,否,2026-05-27,70,0.0,0.0,无,0,近期未检测到明确公开催化,Call/Put成交额相对均衡；个股成交额接近常态；近20日相对SPY明显走弱,6.0,Technology多头共振8,12.54,二级放宽(允许无催化)
PEN,PEN,偏多,13.42,55.5,6,5,1,0.27,0.01,22.05,1.57,40.0,0.5,0.07,2.72,20.0,Healthcare,Medical Devices,是,2026-04-22,35,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,4.0,Healthcare多头共振3,11.11,二级放宽(允许无催化)
MORN,MORN,偏多,12.89,62.0,3,3,0,0.0,0.0,3453.0,3.0,40.0,0.72,-0.35,16.21,13.23,Financial Services,Financial Data & Stock Exchanges,否,2026-04-02,15,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,0.0,无,11.09,二级放宽(允许无催化)
HUBB,HUBB,偏多,11.59,69.0,2,2,0,0.08,0.0,75120.0,66.0,40.0,2.27,1.33,-4.96,0.0,Industrials,Electrical Equipment & Parts,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额较20日明显放大；近20日相对SPY明显走弱,2.0,Industrials多头共振2,10.37,二级放宽(允许无催化)
LULU,LULU,偏多,9.66,60.5,8,4,4,0.55,0.54,1.02,0.55,-6.65,2.82,3.84,-5.57,6.92,Consumer Cyclical,Apparel Retail,否,2026-06-04,78,0.0,0.0,无,0,近期未检测到明确公开催化,Call/Put成交额相对均衡；个股成交额较20日明显放大；近20日相对SPY明显走弱,0.0,无,8.24,二级放宽(允许无催化)
CWEN,CWEN,偏多,9.52,40.8,2,2,0,0.02,0.0,17530.0,52.0,40.0,0.6,-1.3,1.83,15.31,Utilities,Utilities - Renewable,否,2026-04-30,43,0.0,0.0,无,0,近期未检测到明确公开催化,Call成交额显著占优；个股成交额接近常态,0.0,无,7.18,二级放宽(允许无催化)
YELP,YELP,偏多,8.85,42.9,8,4,4,0.01,0.02,0.64,1.0,-13.08,0.56,-0.04,15.75,9.93,Communication Services,Internet Content & Information,否,2026-05-07,50,0.0,0.0,无,0,近期未检测到明确公开催化,Put成交额显著占优；个股成交额接近常态；近20日相对SPY明显走强,0.0,无,6.77,二级放宽(允许无催化)
