trade_date,ticker,expiration,dte,option_type,contract_symbol,strike,last_price,bid,ask,mid,volume,prev_volume,volume_change,volume_change_pct,open_interest,implied_volatility,last_trade_date,underlying_close,underlying_high,underlying_low,underlying_change_pct,spread_pct,distance_pct,signed_distance_pct,premium_notional,prev_premium_notional,premium_notional_change,premium_notional_change_pct,open_interest_notional,prev_open_interest,oi_change,oi_change_pct,oi_change_notional,volume_oi_ratio,is_monthly,contract_score,expiration_rank,positioning_score,oi_score,confirmation_score,flow_score,liquidity_score,location_score,structure_score,expiration_pref_score,tape_score,raw_rank_score,continuity_days,continuity_score,band_id,band_label,band_low_strike,band_high_strike,band_continuity_days,band_continuity_score,total_score
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00180000,180.0,4.13,4.15,4.2,4.175000000000001,24616.0,7925.0,16691.0,2.106119873817035,30175.0,0.37354142089843745,2026-03-20 19:59:57+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.011976047904191572,0.04226985049655564,0.04226985049655564,10277180.000000002,5309750.0,4967430.000000002,0.9355299213710631,12598062.500000002,28918.0,1257.0,0.04346773635797773,524797.5000000001,0.8157746478873239,1,72.83,1,0.0,0.0,6.497141495950452,0.0,0.0,0.0,0.0,0.0,0.0,72.83,0.0,0.0,,,0.0,0.0,0.0,0.0,72.83
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00185000,185.0,2.48,2.5,2.54,2.52,21967.0,8560.0,13407.0,1.5662383177570094,44955.0,0.3569400244140625,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.015873015873015886,0.07122179078812663,0.07122179078812663,5535684.0,3745000.0,1790684.0,0.4781532710280374,11328660.0,43769.0,1186.0,0.02709680367383308,298872.0,0.48864419975531087,1,69.41,2,0.0,0.0,4.54328919339427,0.0,0.0,0.0,0.0,0.0,0.0,69.41,0.0,0.0,,,0.0,0.0,0.0,0.0,69.41
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00200000,200.0,0.46,0.46,0.48,0.47,16629.0,9821.0,6808.0,0.6932084309133489,63650.0,0.3452213916015625,2026-03-20 19:59:49+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.042553191489361625,0.1580776116628396,0.1580776116628396,781562.9999999999,869158.5000000001,-87595.50000000023,-0.10078196324375845,2991550.0,64019.0,-369.0,-0.00576391383807932,0.0,0.26125687352710136,1,64.63,3,0.0,0.0,1.223653465939728,0.0,0.0,0.0,0.0,0.0,0.0,64.63,0.0,0.0,,,0.0,0.0,0.0,0.0,64.63
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00190000,190.0,1.42,1.42,1.45,1.435,13313.0,11454.0,1859.0,0.16230137943076656,50648.0,0.3454655297851562,2026-03-20 19:59:45+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.020905923344947754,0.10017373107969763,0.10017373107969763,1910415.5000000002,3069671.9999999995,-1159256.4999999993,-0.3776483285510633,7267988.0,48889.0,1759.0,0.03597946368303708,252416.5,0.26285341968093506,1,55.48,4,0.0,0.0,2.4291774266835784,0.0,0.0,0.0,0.0,0.0,0.0,55.48,0.0,0.0,,,0.0,0.0,0.0,0.0,55.48
2026-03-20,NVDA,2026-04-17,28,C,NVDA260417C00175000,175.0,6.49,6.45,6.5,6.475,13809.0,8480.0,5329.0,0.6284198113207548,14595.0,0.39551385742187506,2026-03-20 19:59:58+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.007722007722007695,0.01331791020498465,0.01331791020498465,8941327.5,8162000.0,779327.5,0.09548241852487135,9450262.5,10397.0,4198.0,0.4037703183610657,2718205.0,0.9461459403905447,1,48.01,5,0.0,0.0,6.271596510385805,0.0,0.0,0.0,0.0,0.0,0.0,48.01,0.0,0.0,,,0.0,0.0,0.0,0.0,48.01
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00200000,200.0,2.1,2.06,2.11,2.085,12641.0,6196.0,6445.0,1.040187217559716,85762.0,0.3654848608398438,2026-03-20 19:59:59+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.02398081534772174,0.1580776116628396,0.1580776116628396,2635648.5,1967230.0,668418.5,0.33977648775181346,17881377.0,83401.0,2361.0,0.028309013081377923,492268.49999999994,0.14739628273594366,1,81.53,1,0.0,0.0,6.4884836387827995,0.0,0.0,0.0,0.0,0.0,0.0,81.53,0.0,0.0,,,0.0,0.0,0.0,0.0,81.53
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00180000,180.0,7.75,7.75,7.8,7.775,11999.0,6798.0,5201.0,0.7650779641070903,28625.0,0.40210558837890625,2026-03-20 19:59:51+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.006430868167202549,0.04226985049655564,0.04226985049655564,9329222.5,7103909.999999999,2225312.500000001,0.3132517866921176,22255937.5,25700.0,2925.0,0.11381322957198443,2274187.5,0.41917903930131006,1,63.98,2,0.0,0.0,7.398678032116589,0.0,0.0,0.0,0.0,0.0,0.0,63.98,0.0,0.0,,,0.0,0.0,0.0,0.0,63.98
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00195000,195.0,2.97,2.96,3.0,2.98,5747.0,2151.0,3596.0,1.6717805671780568,64737.0,0.3707338317871094,2026-03-20 19:59:51+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.01342281879194632,0.1291256713712686,0.1291256713712686,1712606.0000000002,951817.5000000001,760788.5000000001,0.7993008113425105,19291626.0,64972.0,-235.0,-0.0036169426830019087,0.0,0.08877458022460108,1,50.07,3,0.0,0.0,1.464927438970125,0.0,0.0,0.0,0.0,0.0,0.0,50.07,0.0,0.0,,,0.0,0.0,0.0,0.0,50.07
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00175000,175.0,10.1,10.15,10.2,10.175,10286.0,1829.0,8457.0,4.623838162930563,6399.0,0.41687594848632803,2026-03-20 19:59:32+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.004914004914004809,0.01331791020498465,0.01331791020498465,10466005.0,2427997.5,8038007.5,3.3105501550145746,6510982.5,6059.0,340.0,0.05611487044066678,345950.00000000006,1.6074386622909829,1,49.28,4,0.0,0.0,5.581196581196581,0.0,0.0,0.0,0.0,0.0,0.0,49.28,0.0,0.0,,,0.0,0.0,0.0,0.0,49.28
2026-03-20,NVDA,2026-05-15,56,C,NVDA260515C00190000,190.0,4.17,4.15,4.25,4.2,6892.0,7055.0,-163.0,-0.02310418143160879,47761.0,0.3802552209472656,2026-03-20 19:58:20+00:00,172.6999969482422,178.25999450683594,171.72500610351562,-3.2818104225324163,0.023809523809523725,0.10017373107969763,0.10017373107969763,2894640.0,4250637.5,-1355997.5,-0.31901038373655716,20059620.0,45636.0,2125.0,0.04656411604873346,892500.0,0.14430183622620968,1,47.85,5,0.0,0.0,3.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0,47.85,0.0,0.0,,,0.0,0.0,0.0,0.0,47.85
