trade_date,ticker,expiration,dte,option_type,contract_symbol,strike,last_price,bid,ask,mid,volume,open_interest,implied_volatility,last_trade_date,underlying_close,underlying_change_pct,spread_pct,distance_pct,prev_open_interest,oi_change,oi_change_pct,volume_oi_ratio,oi_score,flow_score,liquidity_score,location_score,structure_score,continuity_days,continuity_score,band_id,band_label,total_score
2026-03-18,NVDA,2026-03-20,2,P,NVDA260320P00177500,177.5,1.13,1.11,1.13,1.12,22076.0,13523.0,0.43408769042968753,2026-03-18 19:59:57+00:00,180.39999389648438,-0.8409821584632771,0.017857142857142672,0.016075354737253623,13523.0,0.0,0.0,1.6324780004436885,0.0,100.0,96.42857142857147,100.0,0.0,1,0.0,,,79.11
2026-03-18,NVDA,2026-03-20,2,C,NVDA260320C00185000,185.0,0.5,0.5,0.51,0.505,102161.0,122576.0,0.37695935546875,2026-03-18 19:59:55+00:00,180.39999389648438,-0.8409821584632771,0.01980198019801982,0.025498926048496223,122576.0,0.0,0.0,0.8334502675890876,0.0,100.0,96.03960396039604,100.0,0.0,1,0.0,,,79.01
2026-03-18,NVDA,2026-03-20,2,C,NVDA260320C00182500,182.5,1.2,1.18,1.21,1.1949999999999998,66406.0,18235.0,0.39111937011718745,2026-03-18 19:59:57+00:00,180.39999389648438,-0.8409821584632771,0.02510460251046028,0.011640832453246274,18235.0,0.0,0.0,3.641678091582122,0.0,100.0,94.97907949790795,100.0,0.0,1,0.0,,,78.74
2026-03-18,NVDA,2026-03-27,9,P,NVDA260327P00180000,180.0,3.95,3.9,4.0,3.95,10012.0,11799.0,0.37183245361328127,2026-03-18 19:59:38+00:00,180.39999389648438,-0.8409821584632771,0.025316455696202552,0.002217261142003675,11799.0,0.0,0.0,0.8485464869904229,0.0,100.0,94.9367088607595,100.0,0.0,1,0.0,,,78.73
2026-03-18,NVDA,2026-03-20,2,P,NVDA260320P00182500,182.5,3.24,3.2,3.3,3.25,24362.0,12460.0,0.38892212646484375,2026-03-18 19:59:57+00:00,180.39999389648438,-0.8409821584632771,0.03076923076923066,0.011640832453246274,12460.0,0.0,0.0,1.9552166934189406,0.0,100.0,93.84615384615387,100.0,0.0,1,0.0,,,78.46
2026-03-18,NVDA,2026-03-27,9,C,NVDA260327C00185000,185.0,2.14,2.1,2.14,2.12,14143.0,18630.0,0.35205726074218746,2026-03-18 19:59:53+00:00,180.39999389648438,-0.8409821584632771,0.018867924528301903,0.025498926048496223,18630.0,0.0,0.0,0.7591519055287171,0.0,97.44699409554482,96.22641509433961,100.0,0.0,1,0.0,,,78.04
2026-03-18,NVDA,2026-03-27,9,C,NVDA260327C00180000,180.0,4.55,4.5,4.55,4.525,8290.0,11254.0,0.38513798461914056,2026-03-18 19:59:53+00:00,180.39999389648438,-0.8409821584632771,0.011049723756906037,0.002217261142003675,11254.0,0.0,0.0,0.7366269770748178,0.0,96.0391860671761,97.79005524861878,100.0,0.0,1,0.0,,,77.86
2026-03-18,NVDA,2026-03-20,2,C,NVDA260320C00180000,180.0,2.39,2.39,2.41,2.4000000000000004,47946.0,67568.0,0.414068359375,2026-03-18 19:59:56+00:00,180.39999389648438,-0.8409821584632771,0.00833333333333334,0.002217261142003675,67568.0,0.0,0.0,0.709596258583945,0.0,94.34976616149656,98.33333333333334,100.0,0.0,1,0.0,,,77.32
2026-03-18,NVDA,2026-03-20,2,P,NVDA260320P00180000,180.0,1.94,1.95,1.98,1.9649999999999999,59167.0,86511.0,0.40869731933593745,2026-03-18 19:59:55+00:00,180.39999389648438,-0.8409821584632771,0.015267175572519099,0.002217261142003675,86511.0,0.0,0.0,0.6839245876246951,0.0,92.74528672654344,96.94656488549617,100.0,0.0,1,0.0,,,76.33
2026-03-18,NVDA,2026-03-23,5,C,NVDA260323C00185000,185.0,0.96,0.92,0.95,0.935,6744.0,9485.0,0.3090889404296875,2026-03-18 19:59:50+00:00,180.39999389648438,-0.8409821584632771,0.03208556149732611,0.025498926048496223,9485.0,0.0,0.0,0.7110173958882446,0.0,94.43858724301529,93.58288770053477,100.0,0.0,1,0.0,,,76.17
